"335",0.795,0.239,"STREET"
"336",0.642,0.296,"STREET"
"337",0.884,0.613,"STREET"
"338",0.847,0.626,"STREET"
"339",0.526,0.276,"STREET"
"340",0.484,0.305,"STREET"
"341",0.753,0.342,"STREET"
"342",0,0.317,"STREET"
"343",0.047,0.329,"STREET"
"344",0.779,0.807,"STREET"
"345",0.263,0.329,"STREET"
"346",0.284,0.572,"STREET"
"347",0.489,0.062,"STREET"
"348",0.247,0.214,"STREET"
"349",0.321,0.547,"STREET"
"350",0.474,0.251,"STREET"
"351",0.568,0.366,"STREET"
"352",0.7,0.745,"STREET"
"353",0.879,0.642,"STREET"
"354",0.295,0.214,"STREET"
"355",0.326,0.654,"STREET"
"356",0.932,0.667,"STREET"
"357",0.268,0.654,"STREET"
"358",0.5,0.691,"STREET"
"359",0.384,0.37,"STREET"
"360",0.305,0.383,"STREET"
"361",0.821,0.395,"STREET"
"362",0.8,0.42,"STREET"
"363",0.168,0.321,"STREET"
"364",0.363,0.156,"STREET"
